antecedent,consequent,support,confidence
"Itemset{1}","Itemset{143}",0.786301,0.844118
"Itemset{1}","Itemset{143 253}",0.712329,0.764706
"Itemset{1}","Itemset{245}",0.708219,0.760294
"Itemset{1}","Itemset{253}",0.843836,0.905882
"Itemset{1 8}","Itemset{143}",0.658904,0.805695
"Itemset{1 8}","Itemset{253}",0.742466,0.907873
"Itemset{1 8 9}","Itemset{143}",0.561644,0.803922
"Itemset{1 8 9}","Itemset{253}",0.632877,0.905882
"Itemset{1 8 9 17}","Itemset{253}",0.549315,0.887168
"Itemset{1 8 9 26}","Itemset{253}",0.510959,0.885986
"Itemset{1 8 9 35}","Itemset{253}",0.509589,0.881517
"Itemset{1 8 9 117}","Itemset{253}",0.517808,0.902148
"Itemset{1 8 9 143}","Itemset{253}",0.550685,0.901345
"Itemset{1 8 10}","Itemset{253}",0.509589,0.885714
"Itemset{1 8 17}","Itemset{143}",0.569863,0.783427
"Itemset{1 8 17}","Itemset{253}",0.645205,0.887006
"Itemset{1 8 17 26}","Itemset{253}",0.524658,0.864560
"Itemset{1 8 17 35}","Itemset{253}",0.532877,0.860619
"Itemset{1 8 17 117}","Itemset{253}",0.521918,0.881944
"Itemset{1 8 17 143}","Itemset{253}",0.554795,0.882353
"Itemset{1 8 18}","Itemset{253}",0.524658,0.864560
"Itemset{1 8 26}","Itemset{143}",0.515068,0.761134
"Itemset{1 8 26}","Itemset{253}",0.597260,0.882591
"Itemset{1 8 26 143}","Itemset{253}",0.515068,0.878505
"Itemset{1 8 27}","Itemset{253}",0.500000,0.854801
"Itemset{1 8 35}","Itemset{143}",0.516438,0.755511
"Itemset{1 8 35}","Itemset{253}",0.601370,0.879760
"Itemset{1 8 35 143}","Itemset{253}",0.519178,0.875289
"Itemset{1 8 36}","Itemset{253}",0.526027,0.870748
"Itemset{1 8 117}","Itemset{143}",0.565753,0.856846
"Itemset{1 8 117}","Itemset{143 253}",0.509589,0.771784
"Itemset{1 8 117}","Itemset{253}",0.595890,0.902490
"Itemset{1 8 117 143}","Itemset{253}",0.542466,0.897959
"Itemset{1 8 143}","Itemset{253}",0.639726,0.905039
"Itemset{1 8 245}","Itemset{253}",0.545205,0.884444
"Itemset{1 9}","Itemset{143}",0.612329,0.811252
"Itemset{1 9}","Itemset{253}",0.686301,0.909256
"Itemset{1 9 17}","Itemset{143}",0.528767,0.790984
"Itemset{1 9 17}","Itemset{253}",0.594521,0.889344
"Itemset{1 9 17 143}","Itemset{253}",0.515068,0.882629
"Itemset{1 9 18}","Itemset{253}",0.501370,0.867299
"Itemset{1 9 26}","Itemset{253}",0.550685,0.889381
"Itemset{1 9 35}","Itemset{253}",0.552055,0.885714
"Itemset{1 9 117}","Itemset{143}",0.527397,0.857461
"Itemset{1 9 117}","Itemset{253}",0.556164,0.904232
"Itemset{1 9 117 143}","Itemset{253}",0.508219,0.898305
"Itemset{1 9 143}","Itemset{253}",0.594521,0.904167
"Itemset{1 9 245}","Itemset{253}",0.501370,0.886199
"Itemset{1 10}","Itemset{143}",0.501370,0.762500
"Itemset{1 10}","Itemset{253}",0.579452,0.881250
"Itemset{1 10 17}","Itemset{253}",0.524658,0.868481
"Itemset{1 11}","Itemset{253}",0.500000,0.852804
"Itemset{1 13}","Itemset{253}",0.513699,0.850340
"Itemset{1 17}","Itemset{143}",0.675342,0.812191
"Itemset{1 17}","Itemset{253}",0.734247,0.883031
"Itemset{1 17 18}","Itemset{143}",0.520548,0.790021
"Itemset{1 17 18}","Itemset{253}",0.567123,0.860707
"Itemset{1 17 18 143}","Itemset{253}",0.500000,0.864929
"Itemset{1 17 26}","Itemset{143}",0.526027,0.768000
"Itemset{1 17 26}","Itemset{253}",0.590411,0.862000
"Itemset{1 17 26 143}","Itemset{253}",0.504110,0.859813
"Itemset{1 17 35}","Itemset{143}",0.532877,0.771825
"Itemset{1 17 35}","Itemset{253}",0.593151,0.859127
"Itemset{1 17 35 143}","Itemset{253}",0.512329,0.855835
"Itemset{1 17 36}","Itemset{253}",0.505479,0.842466
"Itemset{1 17 117}","Itemset{143}",0.579452,0.873967
"Itemset{1 17 117}","Itemset{143 253}",0.516438,0.778926
"Itemset{1 17 117}","Itemset{253}",0.580822,0.876033
"Itemset{1 17 117 143}","Itemset{253}",0.530137,0.871622
"Itemset{1 17 143}","Itemset{253}",0.627397,0.880769
"Itemset{1 17 245}","Itemset{253}",0.542466,0.851613
"Itemset{1 18}","Itemset{143}",0.550685,0.780583
"Itemset{1 18}","Itemset{253}",0.606849,0.860194
"Itemset{1 18 143}","Itemset{253}",0.532877,0.862528
"Itemset{1 22}","Itemset{253}",0.526027,0.868778
"Itemset{1 26}","Itemset{143}",0.605479,0.796396
"Itemset{1 26}","Itemset{253}",0.667123,0.877477
"Itemset{1 26 27}","Itemset{253}",0.502740,0.861502
"Itemset{1 26 35}","Itemset{253}",0.534247,0.851528
"Itemset{1 26 117}","Itemset{143}",0.508219,0.839367
"Itemset{1 26 117}","Itemset{253}",0.526027,0.868778
"Itemset{1 26 143}","Itemset{253}",0.573973,0.876569
"Itemset{1 26 245}","Itemset{253}",0.501370,0.859155
"Itemset{1 27}","Itemset{253}",0.561644,0.857741
